Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
22838	RNF44	8.95e-08	7.72e-07	negative	hsa-miR-374a
22838	RNF44	8.95e-08	8.42e-07	negative	hsa-miR-365
22838	RNF44	8.95e-08	7.17e-06	negative	hsa-miR-214
22838	RNF44	8.95e-08	0.000464	negative	hsa-miR-30b
90933	TRIM41	8.99e-08	3.87e-09	negative	hsa-let-7e
90933	TRIM41	8.99e-08	3.13e-08	negative	hsa-let-7d
90933	TRIM41	8.99e-08	1.14e-07	negative	hsa-let-7g
90933	TRIM41	8.99e-08	1.09e-06	negative	hsa-miR-98
90933	TRIM41	8.99e-08	1.12e-06	negative	hsa-let-7f
90933	TRIM41	8.99e-08	4.37e-06	negative	hsa-let-7a
90933	TRIM41	8.99e-08	0.000106	negative	hsa-let-7i
90933	TRIM41	8.99e-08	0.000271	negative	hsa-miR-34a
23025	UNC13A	9.07e-08	6.48e-08	negative	hsa-miR-133b
23025	UNC13A	9.07e-08	8.65e-07	negative	hsa-miR-133a
23025	UNC13A	9.07e-08	0.00018	negative	hsa-miR-224
3614	IMPDH1	9.41e-08	5.38e-08	negative	hsa-miR-454
3614	IMPDH1	9.41e-08	3.44e-06	negative	hsa-miR-100
3614	IMPDH1	9.41e-08	1.56e-05	negative	hsa-miR-28-5p
3614	IMPDH1	9.41e-08	0.000129	positive	hsa-miR-665
3614	IMPDH1	9.41e-08	0.000194	positive	hsa-miR-648
3614	IMPDH1	9.41e-08	0.000426	positive	hsa-miR-19b
152273	FGD5	9.43e-08	4.71e-07	negative	hsa-miR-17
152273	FGD5	9.43e-08	4.9e-07	negative	hsa-miR-20a
152273	FGD5	9.43e-08	1.04e-06	negative	hsa-miR-20b
152273	FGD5	9.43e-08	0.000109	negative	hsa-miR-106a
152273	FGD5	9.43e-08	0.00184	negative	hsa-miR-93
6814	STXBP3	9.52e-08	2.16e-08	positive	hsa-miR-16
6814	STXBP3	9.52e-08	4.85e-08	positive	hsa-miR-195
6814	STXBP3	9.52e-08	1.92e-05	positive	hsa-miR-15a
6814	STXBP3	9.52e-08	0.000161	positive	hsa-miR-582-5p
6814	STXBP3	9.52e-08	0.000997	positive	hsa-miR-424
6814	STXBP3	9.52e-08	0.00328	positive	hsa-miR-497
11078	TRIOBP	9.53e-08	2.26e-07	negative	hsa-miR-374a
11078	TRIOBP	9.53e-08	9.99e-07	negative	hsa-miR-374b
11078	TRIOBP	9.53e-08	4.93e-05	negative	hsa-miR-18b
11078	TRIOBP	9.53e-08	0.000424	negative	hsa-miR-18a
11078	TRIOBP	9.53e-08	3.72e-06	positive	hsa-miR-423-5p
11078	TRIOBP	9.53e-08	3.53e-05	positive	hsa-miR-760
5663	PSEN1	9.69e-08	9.69e-08	negative	hsa-miR-494
3382	ICA1	9.89e-08	9.89e-08	positive	hsa-miR-183
54805	CNNM2	1e-07	9.14e-07	negative	hsa-miR-195
54805	CNNM2	1e-07	9.67e-07	negative	hsa-miR-23b
54805	CNNM2	1e-07	1.72e-06	negative	hsa-miR-16
54805	CNNM2	1e-07	1.9e-06	negative	hsa-miR-15a
54805	CNNM2	1e-07	1.52e-05	negative	hsa-miR-23a
51780	KDM3B	1.01e-07	0.000813	negative	hsa-miR-371-5p
51780	KDM3B	1.01e-07	4.62e-06	positive	hsa-miR-429
51780	KDM3B	1.01e-07	5.22e-05	positive	hsa-miR-455-5p
51780	KDM3B	1.01e-07	0.00123	positive	hsa-miR-139-5p
9890	LPPR4	1.01e-07	1.26e-06	negative	hsa-miR-1
9890	LPPR4	1.01e-07	2.58e-05	negative	hsa-miR-29a
9890	LPPR4	1.01e-07	6.91e-05	negative	hsa-miR-29b
9890	LPPR4	1.01e-07	0.000638	negative	hsa-miR-200b
4287	ATXN3	1.03e-07	1.03e-07	negative	hsa-miR-494
9755	TBKBP1	1.04e-07	5.46e-09	negative	hsa-let-7e
9755	TBKBP1	1.04e-07	2.37e-07	negative	hsa-let-7d
9755	TBKBP1	1.04e-07	6.48e-07	negative	hsa-miR-98
9755	TBKBP1	1.04e-07	1.11e-06	negative	hsa-let-7g
9755	TBKBP1	1.04e-07	3.05e-05	negative	hsa-let-7a
9755	TBKBP1	1.04e-07	0.000109	negative	hsa-miR-107
9755	TBKBP1	1.04e-07	0.000269	negative	hsa-let-7c
9755	TBKBP1	1.04e-07	6.25e-07	positive	hsa-miR-1237
9755	TBKBP1	1.04e-07	0.00141	positive	hsa-miR-202
10452	TOMM40	1.04e-07	5.48e-08	negative	hsa-miR-125a-5p
2042	EPHA3	1.06e-07	3.31e-08	negative	hsa-miR-486-5p
2042	EPHA3	1.06e-07	4.82e-06	negative	hsa-miR-7
2042	EPHA3	1.06e-07	8.17e-05	negative	hsa-miR-96
2042	EPHA3	1.06e-07	0.00079	positive	hsa-miR-135a
5887	RAD23B	1.06e-07	2.03e-06	negative	hsa-miR-452
5887	RAD23B	1.06e-07	2.52e-11	positive	hsa-miR-20a
5887	RAD23B	1.06e-07	1.41e-08	positive	hsa-miR-106b
5887	RAD23B	1.06e-07	5.45e-08	positive	hsa-miR-19a
5887	RAD23B	1.06e-07	6.62e-08	positive	hsa-miR-93
5887	RAD23B	1.06e-07	4.23e-07	positive	hsa-miR-16
5887	RAD23B	1.06e-07	8.8e-06	positive	hsa-miR-19b
5887	RAD23B	1.06e-07	0.00508	positive	hsa-miR-195
5587	PRKD1	1.08e-07	1.14e-07	positive	hsa-miR-200a
54896	PQLC2	1.09e-07	3.81e-10	negative	hsa-let-7e
54896	PQLC2	1.09e-07	5.36e-05	negative	hsa-let-7a
54896	PQLC2	1.09e-07	0.00122	negative	hsa-let-7c
744	MPPED2	1.11e-07	1.19e-11	negative	hsa-miR-130b
744	MPPED2	1.11e-07	7.51e-05	negative	hsa-miR-141
744	MPPED2	1.11e-07	3.04e-14	positive	hsa-miR-130a
744	MPPED2	1.11e-07	5.6e-14	positive	hsa-miR-152
744	MPPED2	1.11e-07	1.6e-05	positive	hsa-miR-495
53339	BTBD1	1.12e-07	1.12e-07	positive	hsa-miR-340
5194	PEX13	1.14e-07	1.52e-07	positive	hsa-miR-195
5194	PEX13	1.14e-07	2.17e-07	positive	hsa-miR-16
5194	PEX13	1.14e-07	7.26e-07	positive	hsa-miR-15a
5194	PEX13	1.14e-07	0.000924	positive	hsa-miR-424
5194	PEX13	1.14e-07	0.000976	positive	hsa-miR-497
6815	STYX	1.14e-07	0.00261	negative	hsa-miR-485-3p
6815	STYX	1.14e-07	1.21e-08	positive	hsa-miR-374a
6815	STYX	1.14e-07	3.7e-07	positive	hsa-miR-26b
6815	STYX	1.14e-07	1.6e-05	positive	hsa-miR-26a
6815	STYX	1.14e-07	3.5e-05	positive	hsa-miR-20a
9589	WTAP	1.15e-07	6.88e-06	positive	hsa-miR-130a
9589	WTAP	1.15e-07	1.02e-05	positive	hsa-miR-23b
9589	WTAP	1.15e-07	3.41e-05	positive	hsa-miR-200a
9589	WTAP	1.15e-07	6.26e-05	positive	hsa-miR-582-5p
9589	WTAP	1.15e-07	0.00024	positive	hsa-miR-365
9589	WTAP	1.15e-07	0.0011	positive	hsa-miR-150
10982	MAPRE2	1.17e-07	4.72e-11	positive	hsa-miR-204
10982	MAPRE2	1.17e-07	2.46e-06	positive	hsa-miR-125b
10982	MAPRE2	1.17e-07	0.00016	positive	hsa-miR-125a-5p
10982	MAPRE2	1.17e-07	0.00139	positive	hsa-miR-29b
6659	SOX4	1.18e-07	2.88e-06	negative	hsa-miR-133a
6659	SOX4	1.18e-07	9.5e-06	negative	hsa-miR-34a
6659	SOX4	1.18e-07	1.68e-05	negative	hsa-miR-454
6659	SOX4	1.18e-07	5.47e-05	negative	hsa-miR-374b
6659	SOX4	1.18e-07	0.000161	negative	hsa-miR-133b
6659	SOX4	1.18e-07	1.13e-10	positive	hsa-miR-501-5p
6659	SOX4	1.18e-07	5.76e-05	positive	hsa-miR-130b
6659	SOX4	1.18e-07	7.05e-05	positive	hsa-miR-92a
6659	SOX4	1.18e-07	0.000167	positive	hsa-miR-25
1459	CSNK2A2	1.23e-07	5.63e-06	negative	hsa-miR-671-5p
1459	CSNK2A2	1.23e-07	0.000151	negative	hsa-miR-659
1459	CSNK2A2	1.23e-07	6.34e-08	positive	hsa-miR-23b
1459	CSNK2A2	1.23e-07	1.03e-06	positive	hsa-miR-23a
5713	PSMD7	1.24e-07	3.13e-08	positive	hsa-miR-125a-5p
5713	PSMD7	1.24e-07	7.42e-08	positive	hsa-miR-16
5713	PSMD7	1.24e-07	1.15e-07	positive	hsa-miR-30c
5713	PSMD7	1.24e-07	4.02e-07	positive	hsa-miR-195
5713	PSMD7	1.24e-07	4.68e-06	positive	hsa-miR-15a
5713	PSMD7	1.24e-07	0.00089	positive	hsa-miR-30e
5713	PSMD7	1.24e-07	0.00136	positive	hsa-miR-125b
5713	PSMD7	1.24e-07	0.00209	positive	hsa-miR-30b
5713	PSMD7	1.24e-07	0.00426	positive	hsa-miR-424
25852	ARMC8	1.27e-07	1.22e-06	negative	hsa-miR-671-5p
25852	ARMC8	1.27e-07	7.89e-06	negative	hsa-miR-548c-3p
25852	ARMC8	1.27e-07	2.32e-05	negative	hsa-miR-486-5p
25852	ARMC8	1.27e-07	9.25e-08	positive	hsa-miR-27b
25852	ARMC8	1.27e-07	9.3e-05	positive	hsa-miR-495
25852	ARMC8	1.27e-07	0.00014	positive	hsa-miR-107
25852	ARMC8	1.27e-07	0.000462	positive	hsa-miR-27a
25852	ARMC8	1.27e-07	0.000898	positive	hsa-miR-340
6734	SRPR	1.28e-07	0.000729	negative	hsa-miR-92b
6734	SRPR	1.28e-07	0.0037	negative	hsa-miR-326
6734	SRPR	1.28e-07	3.41e-08	positive	hsa-miR-363
6734	SRPR	1.28e-07	2.06e-07	positive	hsa-miR-195
6734	SRPR	1.28e-07	3.83e-06	positive	hsa-miR-15a
6734	SRPR	1.28e-07	3.05e-05	positive	hsa-miR-34a
6734	SRPR	1.28e-07	0.000146	positive	hsa-miR-16
6734	SRPR	1.28e-07	0.00262	positive	hsa-miR-424
151613	TTC14	1.28e-07	1.11e-07	positive	hsa-miR-16
151613	TTC14	1.28e-07	2.15e-07	positive	hsa-miR-195
151613	TTC14	1.28e-07	2.24e-05	positive	hsa-miR-15a
151613	TTC14	1.28e-07	5.75e-05	positive	hsa-miR-29a
150726	FBXO41	1.29e-07	1.56e-07	negative	hsa-miR-218
7756	ZNF207	1.29e-07	2.85e-09	negative	hsa-miR-494
7756	ZNF207	1.29e-07	0.000208	positive	hsa-miR-34a
7756	ZNF207	1.29e-07	0.00161	positive	hsa-miR-101
3399	ID3	1.3e-07	1.03e-10	positive	hsa-miR-224
3399	ID3	1.3e-07	3.88e-07	positive	hsa-miR-27b
3399	ID3	1.3e-07	0.000141	positive	hsa-miR-27a
153222	CREBRF	1.32e-07	3.9e-07	negative	hsa-miR-1237
153222	CREBRF	1.32e-07	2.61e-06	negative	hsa-miR-629
153222	CREBRF	1.32e-07	1.02e-05	negative	hsa-miR-141
153222	CREBRF	1.32e-07	0.00012	negative	hsa-miR-877
153222	CREBRF	1.32e-07	0.000122	negative	hsa-miR-93
153222	CREBRF	1.32e-07	7.56e-09	positive	hsa-miR-27b
153222	CREBRF	1.32e-07	1.29e-06	positive	hsa-miR-27a
153222	CREBRF	1.32e-07	1.12e-05	positive	hsa-miR-26a
153222	CREBRF	1.32e-07	5.61e-05	positive	hsa-miR-195
153222	CREBRF	1.32e-07	0.00222	positive	hsa-miR-181c
606495	CYB5RL	1.32e-07	1.32e-07	positive	hsa-miR-345
4012	LNPEP	1.33e-07	1.27e-05	negative	hsa-miR-548c-3p
4012	LNPEP	1.33e-07	0.00453	negative	hsa-miR-610
4012	LNPEP	1.33e-07	9.88e-07	positive	hsa-miR-125b
6422	SFRP1	1.33e-07	1.23e-12	positive	hsa-miR-27b
6422	SFRP1	1.33e-07	7.1e-11	positive	hsa-miR-27a
51133	KCTD3	1.33e-07	1.51e-07	positive	hsa-miR-30b
51133	KCTD3	1.33e-07	3.02e-06	positive	hsa-miR-30c
51133	KCTD3	1.33e-07	0.000103	positive	hsa-miR-30e
6895	TARBP2	1.33e-07	8.9e-09	negative	hsa-let-7e
6895	TARBP2	1.33e-07	3.97e-08	negative	hsa-miR-195
6895	TARBP2	1.33e-07	6.89e-07	negative	hsa-let-7d
6895	TARBP2	1.33e-07	2.48e-06	negative	hsa-miR-16
6895	TARBP2	1.33e-07	4.51e-06	negative	hsa-let-7g
6895	TARBP2	1.33e-07	4.7e-06	negative	hsa-miR-98
6895	TARBP2	1.33e-07	1.41e-05	negative	hsa-let-7f
6895	TARBP2	1.33e-07	8.64e-05	negative	hsa-let-7a
6895	TARBP2	1.33e-07	9.45e-05	negative	hsa-let-7i
6895	TARBP2	1.33e-07	0.000403	negative	hsa-miR-497
6895	TARBP2	1.33e-07	0.000529	negative	hsa-miR-15a
6895	TARBP2	1.33e-07	0.000662	negative	hsa-let-7c
6895	TARBP2	1.33e-07	0.000784	negative	hsa-miR-424
6895	TARBP2	1.33e-07	1.56e-08	positive	hsa-miR-622
6895	TARBP2	1.33e-07	0.00648	positive	hsa-miR-940
267	AMFR	1.34e-07	4.44e-06	negative	hsa-miR-548c-3p
267	AMFR	1.34e-07	2.31e-05	positive	hsa-miR-376c
80301	PLEKHO2	1.35e-07	3.4e-10	negative	hsa-miR-17
80301	PLEKHO2	1.35e-07	3.65e-10	negative	hsa-miR-93
80301	PLEKHO2	1.35e-07	1.55e-09	negative	hsa-miR-106b
80301	PLEKHO2	1.35e-07	1.17e-08	negative	hsa-miR-106a
80301	PLEKHO2	1.35e-07	3.57e-07	negative	hsa-miR-20b
83259	PCDH11Y	1.35e-07	7.29e-07	negative	hsa-miR-363
83259	PCDH11Y	1.35e-07	2.13e-05	negative	hsa-miR-25
83259	PCDH11Y	1.35e-07	0.000444	negative	hsa-miR-32
83259	PCDH11Y	1.35e-07	0.000213	positive	hsa-miR-539
23369	PUM2	1.37e-07	1.79e-06	negative	hsa-miR-198
23369	PUM2	1.37e-07	0.000115	negative	hsa-miR-491-3p
23369	PUM2	1.37e-07	0.000303	negative	hsa-miR-485-3p
23369	PUM2	1.37e-07	0.00245	negative	hsa-miR-548c-3p
23369	PUM2	1.37e-07	1.23e-06	positive	hsa-miR-218
23369	PUM2	1.37e-07	1.66e-05	positive	hsa-miR-132
7798	LUZP1	1.42e-07	1.26e-10	negative	hsa-miR-93
7798	LUZP1	1.42e-07	3.29e-09	negative	hsa-miR-25
7798	LUZP1	1.42e-07	8.03e-07	negative	hsa-miR-106b
7798	LUZP1	1.42e-07	3.34e-06	negative	hsa-miR-501-3p
7798	LUZP1	1.42e-07	7.14e-06	negative	hsa-miR-296-5p
7798	LUZP1	1.42e-07	3.62e-05	negative	hsa-miR-92a
7798	LUZP1	1.42e-07	5.14e-05	negative	hsa-miR-665
7798	LUZP1	1.42e-07	6.67e-05	negative	hsa-miR-96
7798	LUZP1	1.42e-07	8.87e-05	negative	hsa-miR-648
7798	LUZP1	1.42e-07	0.00052	negative	hsa-miR-330-3p
7798	LUZP1	1.42e-07	0.000845	negative	hsa-miR-32
7798	LUZP1	1.42e-07	0.00109	negative	hsa-miR-1224-5p
7798	LUZP1	1.42e-07	1.03e-07	positive	hsa-miR-125b
7798	LUZP1	1.42e-07	3.43e-06	positive	hsa-miR-125a-5p
7798	LUZP1	1.42e-07	1.98e-05	positive	hsa-miR-214
7798	LUZP1	1.42e-07	2.72e-05	positive	hsa-miR-195
7798	LUZP1	1.42e-07	0.00018	positive	hsa-miR-28-5p
7798	LUZP1	1.42e-07	0.00414	positive	hsa-miR-497
847	CAT	1.42e-07	0.00171	negative	hsa-miR-30d
847	CAT	1.42e-07	1.86e-09	positive	hsa-miR-30c
847	CAT	1.42e-07	4.27e-05	positive	hsa-miR-30e
54602	NDFIP2	1.44e-07	0.00284	negative	hsa-miR-548c-3p
54602	NDFIP2	1.44e-07	5.05e-07	positive	hsa-miR-135a
54602	NDFIP2	1.44e-07	1.06e-06	positive	hsa-miR-1
54602	NDFIP2	1.44e-07	9.93e-05	positive	hsa-miR-23b
54602	NDFIP2	1.44e-07	0.00388	positive	hsa-miR-340
54602	NDFIP2	1.44e-07	0.0051	positive	hsa-miR-19b
10130	PDIA6	1.46e-07	5.93e-06	negative	hsa-miR-526b
10130	PDIA6	1.46e-07	9.06e-05	negative	hsa-miR-485-3p
10130	PDIA6	1.46e-07	4.16e-07	positive	hsa-miR-16
10130	PDIA6	1.46e-07	8.18e-07	positive	hsa-miR-15a
10130	PDIA6	1.46e-07	0.00015	positive	hsa-miR-195
23365	ARHGEF12	1.46e-07	2.33e-05	negative	hsa-miR-648
23365	ARHGEF12	1.46e-07	4.98e-07	positive	hsa-miR-454
23365	ARHGEF12	1.46e-07	1.78e-05	positive	hsa-miR-130a
23365	ARHGEF12	1.46e-07	4.44e-05	positive	hsa-miR-224
23365	ARHGEF12	1.46e-07	9.96e-05	positive	hsa-miR-660
23365	ARHGEF12	1.46e-07	0.00031	positive	hsa-miR-199b-3p
799	CALCR	1.49e-07	2.3e-06	negative	hsa-miR-23b
799	CALCR	1.49e-07	2.46e-06	negative	hsa-miR-200a
799	CALCR	1.49e-07	3.51e-05	negative	hsa-miR-34a
799	CALCR	1.49e-07	0.00155	negative	hsa-miR-24
799	CALCR	1.49e-07	0.00231	negative	hsa-miR-181d
799	CALCR	1.49e-07	0.00117	positive	hsa-miR-513b
10492	SYNCRIP	1.49e-07	0.000507	negative	hsa-miR-494
10492	SYNCRIP	1.49e-07	7.81e-09	positive	hsa-miR-200a
10492	SYNCRIP	1.49e-07	7.67e-08	positive	hsa-miR-429
10492	SYNCRIP	1.49e-07	0.000151	positive	hsa-miR-30c
114908	TMEM123	1.5e-07	8.56e-10	positive	hsa-miR-20a
114908	TMEM123	1.5e-07	1.42e-07	positive	hsa-miR-17
114908	TMEM123	1.5e-07	1.72e-07	positive	hsa-miR-20b
114908	TMEM123	1.5e-07	2.66e-05	positive	hsa-miR-106b
114908	TMEM123	1.5e-07	4.85e-05	positive	hsa-miR-93
114908	TMEM123	1.5e-07	6.4e-05	positive	hsa-miR-374a
114908	TMEM123	1.5e-07	0.000836	positive	hsa-miR-374b
114908	TMEM123	1.5e-07	0.0058	positive	hsa-miR-106a
11112	HIBADH	1.5e-07	5.05e-06	negative	hsa-miR-760
11112	HIBADH	1.5e-07	4.75e-05	negative	hsa-miR-659
11112	HIBADH	1.5e-07	0.000238	negative	hsa-miR-548c-3p
360023	ZBTB41	1.52e-07	0.000323	negative	hsa-miR-513b
360023	ZBTB41	1.52e-07	0.00503	negative	hsa-miR-548c-3p
360023	ZBTB41	1.52e-07	3.15e-08	positive	hsa-miR-20a
360023	ZBTB41	1.52e-07	7.82e-08	positive	hsa-miR-30b
360023	ZBTB41	1.52e-07	1.63e-06	positive	hsa-miR-30c
360023	ZBTB41	1.52e-07	6.73e-05	positive	hsa-miR-340
360023	ZBTB41	1.52e-07	0.000809	positive	hsa-miR-29b
91663	MYADM	1.52e-07	1.31e-19	negative	hsa-miR-182
29994	BAZ2B	1.53e-07	1.04e-05	negative	hsa-miR-92b
29994	BAZ2B	1.53e-07	0.000201	negative	hsa-miR-490-5p
29994	BAZ2B	1.53e-07	0.000719	negative	hsa-miR-92a
29994	BAZ2B	1.53e-07	4.07e-11	positive	hsa-miR-30c
29994	BAZ2B	1.53e-07	1.87e-09	positive	hsa-miR-23b
29994	BAZ2B	1.53e-07	5.61e-08	positive	hsa-miR-26b
29994	BAZ2B	1.53e-07	6.36e-07	positive	hsa-miR-26a
29994	BAZ2B	1.53e-07	5.24e-06	positive	hsa-miR-455-5p
29994	BAZ2B	1.53e-07	0.000802	positive	hsa-miR-363
29994	BAZ2B	1.53e-07	0.00187	positive	hsa-miR-30b
29994	BAZ2B	1.53e-07	0.00456	positive	hsa-miR-429
23173	METAP1	1.54e-07	3.47e-06	negative	hsa-miR-526b
23173	METAP1	1.54e-07	6.63e-05	negative	hsa-miR-1224-5p
23173	METAP1	1.54e-07	5.68e-06	positive	hsa-miR-20b
23173	METAP1	1.54e-07	5.09e-05	positive	hsa-miR-20a
23173	METAP1	1.54e-07	0.000286	positive	hsa-miR-17
7276	TTR	1.54e-07	1.92e-07	negative	hsa-miR-200a
5372	PMM1	1.55e-07	5.6e-08	negative	hsa-miR-195
5372	PMM1	1.55e-07	1.14e-05	negative	hsa-miR-15a
5372	PMM1	1.55e-07	0.000234	negative	hsa-miR-424
5372	PMM1	1.55e-07	0.00374	negative	hsa-miR-497
50861	STMN3	1.55e-07	1.56e-05	negative	hsa-miR-125b
50861	STMN3	1.55e-07	2.28e-05	negative	hsa-miR-125a-5p
50861	STMN3	1.55e-07	1.46e-05	positive	hsa-miR-760
50861	STMN3	1.55e-07	0.00473	positive	hsa-miR-326
51762	RAB8B	1.56e-07	7.98e-08	positive	hsa-miR-125b
51762	RAB8B	1.56e-07	4.72e-07	positive	hsa-miR-218
51762	RAB8B	1.56e-07	1.5e-06	positive	hsa-miR-125a-5p
51762	RAB8B	1.56e-07	2.3e-06	positive	hsa-miR-195
51762	RAB8B	1.56e-07	2.6e-06	positive	hsa-miR-28-5p
51762	RAB8B	1.56e-07	8.83e-06	positive	hsa-miR-15a
51762	RAB8B	1.56e-07	5.36e-05	positive	hsa-miR-363
51762	RAB8B	1.56e-07	0.000599	positive	hsa-miR-424
22808	MRAS	1.58e-07	3.49e-07	negative	hsa-miR-148a
22808	MRAS	1.58e-07	1.01e-05	negative	hsa-miR-148b
22808	MRAS	1.58e-07	0.00077	negative	hsa-miR-548c-3p
22808	MRAS	1.58e-07	1.86e-12	positive	hsa-miR-152
22808	MRAS	1.58e-07	1.26e-05	positive	hsa-miR-1
22808	MRAS	1.58e-07	0.00459	positive	hsa-miR-206
80183	KIAA0226L	1.59e-07	9.55e-05	negative	hsa-miR-30b
80183	KIAA0226L	1.59e-07	5.58e-07	positive	hsa-miR-223
102	ADAM10	1.6e-07	0.000917	negative	hsa-miR-92b
102	ADAM10	1.6e-07	4.41e-08	positive	hsa-miR-374a
102	ADAM10	1.6e-07	8.84e-06	positive	hsa-miR-363
55531	ELMOD1	1.62e-07	5.73e-10	negative	hsa-miR-16
55531	ELMOD1	1.62e-07	1.36e-06	negative	hsa-miR-195
55531	ELMOD1	1.62e-07	3.06e-06	negative	hsa-miR-200a
55531	ELMOD1	1.62e-07	4.53e-05	negative	hsa-miR-203
55531	ELMOD1	1.62e-07	0.00134	negative	hsa-miR-15b
25909	AHCTF1	1.62e-07	0.00688	negative	hsa-miR-548c-3p
25909	AHCTF1	1.62e-07	4.67e-08	positive	hsa-let-7d
25909	AHCTF1	1.62e-07	1.11e-06	positive	hsa-let-7e
25909	AHCTF1	1.62e-07	2.13e-06	positive	hsa-let-7f
25909	AHCTF1	1.62e-07	3.41e-06	positive	hsa-let-7a
25909	AHCTF1	1.62e-07	4.99e-06	positive	hsa-let-7i
8448	DOC2A	1.64e-07	7.93e-07	negative	hsa-miR-30c
8448	DOC2A	1.64e-07	7.88e-06	negative	hsa-miR-30e
8448	DOC2A	1.64e-07	0.000331	negative	hsa-miR-196b
8448	DOC2A	1.64e-07	0.00176	negative	hsa-miR-30b
8448	DOC2A	1.64e-07	0.00034	positive	hsa-miR-30d
8448	DOC2A	1.64e-07	0.00069	positive	hsa-miR-1225-5p
8448	DOC2A	1.64e-07	0.006	positive	hsa-miR-940
117178	SSX2IP	1.66e-07	5.44e-08	negative	hsa-miR-548c-3p
117178	SSX2IP	1.66e-07	5.84e-05	negative	hsa-miR-93
117178	SSX2IP	1.66e-07	2.9e-08	positive	hsa-miR-495
9236	CCPG1	1.67e-07	0.00208	negative	hsa-miR-30d
9236	CCPG1	1.67e-07	2.56e-07	positive	hsa-miR-30c
9236	CCPG1	1.67e-07	1.99e-05	positive	hsa-miR-582-5p
9236	CCPG1	1.67e-07	3.07e-05	positive	hsa-miR-30b
9236	CCPG1	1.67e-07	0.000224	positive	hsa-miR-30e
7529	YWHAB	1.68e-07	0.00148	negative	hsa-miR-636
7529	YWHAB	1.68e-07	9.41e-07	positive	hsa-miR-200b
7529	YWHAB	1.68e-07	1.62e-05	positive	hsa-miR-27b
9736	USP34	1.69e-07	0.000208	negative	hsa-miR-498
9736	USP34	1.69e-07	1.7e-08	positive	hsa-miR-29b
9736	USP34	1.69e-07	0.000493	positive	hsa-miR-29c
9736	USP34	1.69e-07	0.00108	positive	hsa-miR-29a
50650	ARHGEF3	1.69e-07	5.83e-06	negative	hsa-miR-512-3p
50650	ARHGEF3	1.69e-07	3.83e-07	positive	hsa-miR-200b
50650	ARHGEF3	1.69e-07	2.29e-06	positive	hsa-miR-429
50650	ARHGEF3	1.69e-07	0.000333	positive	hsa-miR-214
50650	ARHGEF3	1.69e-07	0.001	positive	hsa-miR-101
9562	MINPP1	1.69e-07	1.69e-07	positive	hsa-miR-30c
2034	EPAS1	1.7e-07	2.44e-15	negative	hsa-miR-182
2034	EPAS1	1.7e-07	6.25e-05	negative	hsa-miR-548c-3p
2034	EPAS1	1.7e-07	0.00515	negative	hsa-miR-148a
2034	EPAS1	1.7e-07	1.69e-09	positive	hsa-miR-23b
2034	EPAS1	1.7e-07	9.07e-07	positive	hsa-miR-23a
2034	EPAS1	1.7e-07	0.0046	positive	hsa-miR-365
114794	ELFN2	1.73e-07	1.73e-07	negative	hsa-miR-27b
114794	ELFN2	1.73e-07	0.00128	negative	hsa-miR-27a
114794	ELFN2	1.73e-07	0.00373	positive	hsa-miR-210
5685	PSMA4	1.73e-07	1.73e-07	positive	hsa-miR-203
201475	RAB12	1.75e-07	8.45e-10	negative	hsa-miR-93
201475	RAB12	1.75e-07	9.9e-09	negative	hsa-miR-106b
201475	RAB12	1.75e-07	8.74e-05	negative	hsa-miR-20a
201475	RAB12	1.75e-07	0.00253	negative	hsa-miR-20b
201475	RAB12	1.75e-07	0.00954	negative	hsa-miR-330-3p
63967	CLSPN	1.75e-07	8.59e-07	positive	hsa-miR-330-3p
63967	CLSPN	1.75e-07	4.77e-06	positive	hsa-miR-198
57763	ANKRA2	1.77e-07	1.09e-07	positive	hsa-miR-30c
57763	ANKRA2	1.77e-07	0.00114	positive	hsa-miR-30e
4907	NT5E	1.78e-07	3.2e-07	negative	hsa-miR-30d
3930	LBR	1.78e-07	8.09e-07	positive	hsa-miR-429
3930	LBR	1.78e-07	1.37e-05	positive	hsa-miR-340
3930	LBR	1.78e-07	0.000297	positive	hsa-let-7d
3930	LBR	1.78e-07	0.00312	positive	hsa-miR-98
9399	STOML1	1.79e-07	3.41e-07	negative	hsa-miR-30c
9399	STOML1	1.79e-07	0.00167	negative	hsa-miR-30b
9399	STOML1	1.79e-07	0.00169	negative	hsa-miR-30e
9399	STOML1	1.79e-07	2.34e-05	positive	hsa-miR-296-5p
9399	STOML1	1.79e-07	0.00125	positive	hsa-miR-30d
9399	STOML1	1.79e-07	0.00133	positive	hsa-miR-874
5744	PTHLH	1.81e-07	6.55e-09	negative	hsa-miR-20a
5744	PTHLH	1.81e-07	3.9e-08	negative	hsa-miR-195
4214	MAP3K1	1.84e-07	5.01e-05	negative	hsa-miR-1225-3p
4214	MAP3K1	1.84e-07	0.000369	negative	hsa-miR-575
4214	MAP3K1	1.84e-07	9.77e-10	positive	hsa-miR-31
4214	MAP3K1	1.84e-07	1.86e-07	positive	hsa-miR-23b
4214	MAP3K1	1.84e-07	1.16e-06	positive	hsa-miR-23a
4214	MAP3K1	1.84e-07	7.53e-06	positive	hsa-let-7e
4214	MAP3K1	1.84e-07	1.67e-05	positive	hsa-miR-26a
4214	MAP3K1	1.84e-07	0.000231	positive	hsa-miR-495
4214	MAP3K1	1.84e-07	0.000246	positive	hsa-let-7d
